analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,100,50,22,106.88,85.4405,419.259,5759680,582565
Off,100,50,23,125.929,78.3375,403.572,5623347,571522
Off,100,50,24,109.434,89.3905,447.41,5601019,564142
Off,100,50,25,123.071,98.9952,475.735,5726173,570996
Off,100,50,26,112.232,89.046,436.529,5889426,581640
Off,100,50,27,107.093,81.1891,425.121,6066018,594858
Off,100,50,28,111.296,86.6593,407.243,6226481,606497
Off,100,50,29,108.05,89.4564,435.629,6346681,615393
Off,100,100,0,0.029543,0.022335,253.844,0,0
Off,100,100,1,0.031915,0.02229,244.551,0,0
Off,100,100,2,0.012838,0.01041,159.534,0,0
Off,100,100,3,0.002374,0.001334,91.4066,0,0
Off,100,100,4,0.002,0.001293,88.1708,0,0
Off,100,100,5,0.003831,0.002083,91.6728,0,0
Off,100,100,6,0.001461,0.000958,93.8877,0,0
Off,100,100,7,0.002124,0.001752,89.2396,0,0
Off,100,100,8,0.001873,0.001167,91.6159,0,0
Off,100,100,9,0.002295,0.001456,95.0948,0,0
Off,100,100,10,0.001751,0.001247,89.9405,0,0
Off,100,100,11,44.9736,23.615,156.792,3766095,111480
Off,100,100,12,48.0695,27.4285,167.086,6484229,220246
Off,100,100,13,52.4757,30.862,175.134,8704244,321091
Off,100,100,14,54.7944,31.6715,176.552,10801158,425578
Off,100,100,15,54.8625,33.8977,181.469,12952237,540568
Off,100,100,16,58.025,37.5576,184.274,14964885,666265
Off,100,100,17,56.6685,37.2197,188.139,15894561,738260
Off,100,100,18,56.1474,40.4653,199.586,16317453,768245
Off,100,100,19,51.5778,38.058,191.913,16261447,774314
Off,100,100,20,50.7025,36.8525,177.06,16019723,757203
Off,100,100,21,48.6382,40.1494,178.334,15690189,735619
Off,100,100,22,48.8081,36.1317,175.687,15269351,717205
Off,100,100,23,47.8764,35.9958,177.023,14879654,698924
Off,100,100,24,47.7244,36.1289,174.654,14659542,688176
Off,100,100,25,85.4235,51.6151,279.081,14868925,696173
Off,100,100,26,49.5732,38.6291,177.445,15379292,715539
Off,100,100,27,49.9904,38.0395,178.686,16039435,735193
Off,100,100,28,49.4445,36.6446,179.475,16670118,752118
Off,100,100,29,51.6052,37.0447,187.655,17111247,765136
On,20,20,0,0.002127,0.001703,57.2066,0,0
On,20,20,1,0.001666,0.001001,54.3882,0,0
On,20,20,2,0.001792,0.001123,54.3428,0,0
On,20,20,3,0.003004,0.00212,50.9567,0,0
On,20,20,4,0.001795,0.00125,53.5778,0,0
On,20,20,5,0.002293,0.001377,51.8889,0,0
On,20,20,6,0.001922,0.001162,52.8419,0,0
On,20,20,7,0.001834,0.001247,51.2436,0,0
On,20,20,8,0.001585,0.00104,50.9526,0,0
On,20,20,9,0.002164,0.001419,54.3408,0,0
On,20,20,10,0.001617,0.001128,51.1647,0,0
On,20,20,11,0.002834,11.4559,62.2455,0,2537
On,20,20,12,0.002375,10.3615,61.4515,0,4896
On,20,20,13,0.002789,10.3628,63.7936,0,5280
On,20,20,14,0.002422,10.3254,61.3989,0,5154
On,20,20,15,0.001998,10.3959,63.2086,0,4605
On,20,20,16,0.002209,10.3274,63.7318,0,4349
On,20,20,17,0.002541,10.6766,64.828,0,5626
On,20,20,18,0.003042,11.4911,76.4573,0,7257
On,20,20,19,0.002127,10.9327,66.4229,0,8233
On,20,20,20,0.002036,10.4119,63.6534,0,8665
On,20,20,21,0.001917,10.2892,64.1205,0,8365
On,20,20,22,0.001836,10.3602,63.6875,0,8056
On,20,20,23,0.001621,10.3338,61.5399,0,7853
On,20,20,24,0.001875,10.3362,61.5009,0,7528
On,20,20,25,0.001961,10.4822,63.9603,0,6861
On,20,20,26,0.001917,10.345,61.1752,0,6239
On,20,20,27,0.001998,10.286,63.6815,0,5953
On,20,20,28,0.001828,10.462,61.9312,0,5941
On,20,20,29,0.001832,10.409,62.9007,0,6138
On,20,50,0,0.001751,0.001207,56.8887,0,0
On,20,50,1,0.002167,0.001415,54.8871,0,0
On,20,50,2,0.002332,0.001584,61.0145,0,0
On,20,50,3,0.002289,0.001372,61.188,0,0
On,20,50,4,0.002004,0.001171,57.5805,0,0
On,20,50,5,0.001994,0.001337,55.0455,0,0
On,20,50,6,0.008373,0.001747,59.3947,0,0
On,20,50,7,0.002208,0.001374,62.8884,0,0
On,20,50,8,0.001953,0.001251,54.7996,0,0
On,20,50,9,0.001833,0.001126,56.2497,0,0
On,20,50,10,0.001914,0.001334,56.9134,0,0
On,20,50,11,0.002414,10.1393,65.094,0,2537
On,20,50,12,0.002334,11.0642,65.7622,0,4896
On,20,50,13,0.002293,11.0538,67.8945,0,5280
On,20,50,14,0.002706,10.8369,64.7622,0,5154
On,20,50,15,0.002461,11.0472,66.26,0,4605
On,20,50,16,0.006627,13.1675,85.0749,0,4349
On,20,50,17,0.01721,27.8684,155.122,0,5626
On,20,50,18,0.016541,27.6531,156.242,0,7257
On,20,50,19,0.028213,28.4209,163.789,0,8233
On,20,50,20,0.021916,35.6887,175.676,0,8665
On,20,50,21,0.022455,30.5797,165.209,0,8365
On,20,50,22,0.021124,30.133,158.597,0,8056
On,20,50,23,0.015289,25.3497,142.312,0,7853
On,20,50,24,0.008624,16.9224,109.724,0,7528
On,20,50,25,0.031791,28.7028,156.413,0,6861
On,20,50,26,0.031212,29.2612,157.578,0,6239
On,20,50,27,0.02283,27.8035,151.41,0,5953
On,20,50,28,0.015671,29.2629,155.27,0,5941
On,20,50,29,0.031583,32.2696,170.376,0,6138
On,20,100,0,0.032081,0.042209,198.081,0,0
On,20,100,1,0.023875,0.017334,181.239,0,0
On,20,100,2,0.025581,0.017623,180.735,0,0
On,20,100,3,0.029168,0.027915,168.931,0,0
On,20,100,4,0.027208,0.020711,153.881,0,0
On,20,100,5,0.012997,0.009586,122.733,0,0
On,20,100,6,0.011122,0.008543,117.977,0,0
On,20,100,7,0.03275,0.027418,156.536,0,0
On,20,100,8,0.022667,0.018706,153.02,0,0
On,20,100,9,0.034873,0.033126,198.828,0,0
On,20,100,10,0.032828,0.025959,183.201,0,0
On,20,100,11,0.016541,36.1579,186.299,0,2537
On,20,100,12,0.041123,43.7905,224.708,0,4896
On,20,100,13,0.042664,49.1959,242.766,0,5280
On,20,100,14,0.065002,49.0336,254.933,0,5154
On,20,100,15,0.025337,37.3236,186.883,0,4605
On,20,100,16,0.005376,24.3403,136.297,0,4349
On,20,100,17,0.005669,23.411,137.1,0,5626
On,20,100,18,0.008167,29.0445,147.138,0,7257
On,20,100,19,0.006246,29.2843,155.891,0,8233
On,20,100,20,0.005625,32.221,153.601,0,8665
On,20,100,21,0.006751,26.1675,127.517,0,8365
On,20,100,22,0.015087,27.1789,152.269,0,8056
On,20,100,23,0.030253,30.0918,278.98,0,7853
On,20,100,24,0.034168,123.147,436.901,0,7528
On,20,100,25,0.017161,26.1279,177.413,0,6861
On,20,100,26,0.011954,31.4409,197.294,0,6239
On,20,100,27,0.026252,43.2032,231.087,0,5953
On,20,100,28,0.072166,55.6354,339.063,0,5941
On,20,100,29,0.072579,53.8665,366.553,0,6138
On,50,20,0,0.03963,0.026083,177.277,0,0
On,50,20,1,0.045541,0.035665,231.252,0,0
On,50,20,2,0.044335,0.038166,247.014,0,0
On,50,20,3,0.031081,0.111377,150.441,0,0
On,50,20,4,0.043581,0.022994,165.735,0,0
On,50,20,5,0.061543,0.048293,236.348,0,0
On,50,20,6,0.050915,0.036754,137.313,0,0
On,50,20,7,0.029664,0.018712,107.774,0,0
On,50,20,8,0.035043,0.02429,121.78,0,0
On,50,20,9,0.029542,0.020292,140.59,0,0
On,50,20,10,0.008833,0.006963,127.445,0,0
On,50,20,11,0.049964,29.5785,165.763,0,17118
On,50,20,12,0.046417,36.2022,188.044,0,34103
On,50,20,13,0.054497,33.3315,185.908,0,50618
On,50,20,14,0.037789,33.8445,185.737,0,65276
On,50,20,15,0.036919,38.845,173.225,0,82076
On,50,20,16,0.025706,19.7377,145.194,0,101230
On,50,20,17,0.042709,36.1568,170.904,0,107543
On,50,20,18,0.030793,24.6332,143.475,0,110140
On,50,20,19,0.030919,25.02,141.554,0,107881
On,50,20,20,0.048044,33.3964,164.674,0,100479
On,50,20,21,0.043912,27.8738,151.836,0,92714
On,50,20,22,0.039124,28.1355,146.354,0,88476
On,50,20,23,0.046661,27.9821,182.603,0,85631
On,50,20,24,0.039493,28.3598,179.639,0,84960
On,50,20,25,0.035997,37.74,182.513,0,85478
On,50,20,26,0.038828,34.4377,150.75,0,87108
On,50,20,27,0.037911,30.538,134.564,0,87113
On,50,20,28,0.0255,26.1449,144.723,0,86989
On,50,20,29,0.028789,29.841,166.036,0,88280
On,50,50,0,0.004462,0.002126,94.3013,0,0
On,50,50,1,0.006293,0.002333,124.753,0,0
