analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
On,20,20,14,31.3325,29.2349,138.281,46021,9688
On,20,20,15,32.0327,30.7135,138.512,41618,8310
On,20,20,16,35.9342,31.0876,145.357,42373,7976
On,20,20,17,32.2476,27.7591,140.949,49086,10408
On,20,20,18,32.1678,27.9882,141.127,59826,13578
On,20,20,19,32.0938,36.1309,161.554,63328,15356
On,20,20,20,32.7682,36.5896,166.217,63810,16236
On,20,20,21,28.8017,29.1771,135.536,63288,15775
On,20,20,22,31.2704,29.5826,133.912,63924,15127
On,20,20,23,28.9445,28.0426,134.629,65472,14653
On,20,20,24,31.4586,28.8703,142.998,63434,14235
On,20,20,25,30.9308,27.8493,138.83,59997,13283
On,20,20,26,32.6487,32.5731,144.762,54453,11549
On,20,20,27,28.5852,30.2932,131.634,49420,10667
On,20,20,28,29.8358,31.5991,137.522,50534,11177
On,20,20,29,30.8203,26.2647,136.245,51165,10946
On,20,50,0,0.00483,15.2915,98.424,0,0
On,20,50,1,0.004536,16.0915,95.8828,0,0
On,20,50,2,0.003713,15.5441,99.3752,0,0
On,20,50,3,0.004294,17.9463,98.3396,0,0
On,20,50,4,0.003543,15.0644,96.418,0,0
On,20,50,5,0.010288,19.9519,105.78,0,0
On,20,50,6,0.008622,20.2602,110.08,0,0
On,20,50,7,0.008177,18.9522,103.709,0,0
On,20,50,8,0.003626,17.7135,101.543,0,0
On,20,50,9,0.011464,19.5465,109.717,0,0
On,20,50,10,0.013754,17.6788,105.211,0,574
On,20,50,11,40.9351,30.2805,157.125,101817,4975
On,20,50,12,42.4011,30.7615,170.466,162457,9652
On,20,50,13,52.2882,36.9854,181.974,174115,10408
On,20,50,14,44.1559,36.2022,170.496,170995,10014
On,20,50,15,47.021,32.3167,166.004,159101,8714
On,20,50,16,49.8453,37.2605,174.098,155570,8093
On,20,50,17,47.2776,47.479,191.137,174188,10437
On,20,50,18,49.7299,46.3808,212.658,211466,13758
On,20,50,19,48.3189,51.2901,234.171,226920,15753
On,20,50,20,55.19,53.056,234.867,225540,16215
On,20,50,21,41.2992,38.3507,167.849,214784,15286
On,20,50,22,40.6097,37.3949,163.648,208291,14365
On,20,50,23,42.7329,34.7292,155.265,208956,14120
On,20,50,24,44.0145,31.6947,161.439,207308,14018
On,20,50,25,42.9293,32.352,170.004,198120,12885
On,20,50,26,43.8048,37.6128,172.206,192369,12761
On,20,50,27,39.9525,37.7747,171.089,192473,12416
On,20,50,28,43.4179,40.1945,178.332,196273,12447
On,20,50,29,55.3523,53.0695,241.415,188114,11681
On,20,100,0,0.011003,31.383,146.613,0,0
On,20,100,1,0.011287,26.8285,145.688,0,0
On,20,100,2,0.006707,30.5863,140.207,0,0
On,20,100,3,0.005963,26.4593,141.479,0,0
On,20,100,4,0.007331,27.2216,139.784,0,0
On,20,100,5,0.00775,27.0432,144.408,0,0
On,20,100,6,0.008836,28.4598,138.725,0,0
On,20,100,7,0.010046,29.9466,142.434,0,0
On,20,100,8,0.014795,30.0948,142.55,0,0
On,20,100,9,0.018539,24.9766,142.81,0,0
On,20,100,10,0.011831,20.2287,132.532,0,574
On,20,100,11,59.675,36.1665,207.983,355531,4797
On,20,100,12,70.8238,40.7959,225.883,569344,9176
On,20,100,13,69.2005,58.2669,246.787,605916,9777
On,20,100,14,75.5416,47.4579,237.865,601994,9695
On,20,100,15,72.4895,71.9058,307.264,553417,8420
On,20,100,16,74.0346,62.0448,254.523,546214,7885
On,20,100,17,75.7215,70.2883,293.184,600225,10079
On,20,100,18,72.5278,49.8746,244.11,724694,13441
On,20,100,19,62.7208,45.8983,219.764,766564,15405
On,20,100,20,63.0646,39.0111,208.659,759210,15508
On,20,100,21,61.8605,47.4244,217.576,716335,14522
On,20,100,22,66.423,46.6458,226.743,706074,14472
On,20,100,23,65.1551,38.632,207.074,734242,14968
On,20,100,24,63.2118,51.0049,221.008,736482,14891
On,20,100,25,64.3813,53.663,223.465,722680,14289
On,20,100,26,72.8355,55.2716,279.319,703674,13059
On,20,100,27,69.6632,77.176,275.183,682738,12285
On,20,100,28,71.4619,55.3061,259.32,684154,12560
On,20,100,29,71.941,51.6996,247.574,680804,12336
On,50,20,0,0.005457,15.8594,100.575,0,0
On,50,20,1,0.00346,15.9009,99.215,0,0
On,50,20,2,0.006871,15.7303,106.225,0,0
On,50,20,3,0.003291,16.595,100.231,0,0
On,50,20,4,0.004961,15.3306,103.689,0,0
On,50,20,5,0.002797,15.7546,104.838,0,0
On,50,20,6,0.005745,18.8707,110.962,0,0
On,50,20,7,0.009542,17.5296,110.954,0,0
On,50,20,8,0.003631,19.1413,100.269,0,0
On,50,20,9,0.005335,17.6806,107.906,0,0
On,50,20,10,0.004833,14.6108,97.8869,0,3870
On,50,20,11,51.499,29.0627,161.022,123069,33570
On,50,20,12,54.2403,33.611,176.221,222963,66166
On,50,20,13,55.0178,38.0677,194.556,305264,99115
On,50,20,14,67.291,50.7702,239.497,358915,126387
On,50,20,15,64.3429,41.685,198.478,438830,158504
On,50,20,16,55.2276,37.2514,183.506,518766,196303
On,50,20,17,56.5793,32.7875,182.492,541086,207991
On,50,20,18,64.157,42.2888,213.276,546800,208560
On,50,20,19,49.4402,40.5879,185.349,528796,200526
On,50,20,20,42.8106,39.5225,166.3,495512,182139
On,50,20,21,41.6624,33.896,166.194,474303,165216
On,50,20,22,43.8862,32.1864,169.722,454555,158624
On,50,20,23,48.743,44.6747,191.955,443232,158574
On,50,20,24,42.102,34.2617,159.912,443493,156568
On,50,20,25,43.7215,37.3005,166.373,441729,155532
On,50,20,26,48.346,35.8448,167.536,447205,156655
On,50,20,27,44.863,39.4354,169.737,444388,154625
On,50,20,28,43.95,35.7886,180.007,445131,154949
On,50,20,29,41.9909,36.4382,170.813,451465,156563
On,50,50,0,0.004789,17.4603,105.539,0,0
On,50,50,1,0.009747,19.8636,115.81,0,0
On,50,50,2,0.011748,23.5522,112.743,0,0
On,50,50,3,0.004456,22.6582,111.439,0,0
On,50,50,4,0.003919,16.6175,107.18,0,0
On,50,50,5,0.004378,19.2302,112.782,0,0
On,50,50,6,0.003088,17.7753,108.987,0,0
On,50,50,7,0.004797,17.2622,116.37,0,0
On,50,50,8,0.007665,19.3827,114.7,0,0
On,50,50,9,0.002628,21.4442,118.874,0,0
On,50,50,10,0.004456,23.9674,115.974,0,3870
On,50,50,11,66.292,34.7688,187.514,375148,32958
On,50,50,12,72.157,41.6978,203.23,656157,66366
On,50,50,13,79.0105,37.1586,214.896,862660,99384
On,50,50,14,79.7504,41.6869,214.831,1002753,127720
On,50,50,15,79.0507,39.9591,217.324,1190919,160818
On,50,50,16,83.6517,46.2676,231.236,1364506,198568
On,50,50,17,85.7315,48.3632,248.655,1419061,210630
On,50,50,18,88.7662,38.1149,221.905,1377824,214197
On,50,50,19,69.0426,45.7502,213.459,1305186,211005
On,50,50,20,72.8318,40.699,207.743,1235274,199680
On,50,50,21,72.9965,40.0229,209.58,1179760,182773
On,50,50,22,68.8357,54.0633,235.393,1148338,174401
On,50,50,23,64.287,34.3777,185.814,1155642,174355
On,50,50,24,64.7969,35.0819,185.328,1179232,176046
On,50,50,25,76.0387,40.3244,218.01,1219864,183183
On,50,50,26,75.9668,65.5811,272.055,1260298,186174
On,50,50,27,70.0078,48.0827,215.623,1288363,189546
On,50,50,28,69.6842,42.8108,199.148,1308168,190773
On,50,50,29,69.6174,46.8917,224.154,1322664,192810
On,50,100,0,0.006496,25.3514,136.64,0,0
On,50,100,1,0.006083,24.9992,134.007,0,0
On,50,100,2,0.003288,26.7987,132.822,0,0
On,50,100,3,0.005079,27.1895,131.731,0,0
On,50,100,4,0.003161,25.1862,130.222,0,0
On,50,100,5,0.00338,26.9302,135.595,0,0
On,50,100,6,0.005709,25.1026,131.022,0,0
